날짜,Negative,Positive,X_t,nsi,Negative_percent,Positive_percent
2021/10/30,308.0,166.0,-0.2995780590717299,97.051,0.6497890295358649,0.350210970464135
2021/10/31,314.0,159.0,-0.3276955602536998,94.714,0.6638477801268499,0.3361522198731501
2021/11/01,285.0,111.0,-0.4393939393939394,85.441,0.7196969696969697,0.2803030303030303
2021/11/02,246.0,79.0,-0.5138461538461538,79.349,0.7569230769230769,0.24307692307692308
2021/11/03,241.0,71.0,-0.5448717948717948,76.926,0.7724358974358975,0.22756410256410256
2021/11/04,263.0,98.0,-0.4570637119113573,84.243,0.7285318559556787,0.27146814404432135
2021/11/05,264.0,159.0,-0.2482269503546099,101.483,0.624113475177305,0.375886524822695
2021/11/06,261.0,180.0,-0.1836734693877551,106.807,0.5918367346938775,0.40816326530612246
2021/11/07,298.0,197.0,-0.204040404040404,105.116,0.602020202020202,0.397979797979798
2021/11/08,297.0,222.0,-0.1445086705202312,110.022,0.5722543352601156,0.4277456647398844
2021/11/09,311.0,255.0,-0.0989399293286219,113.752,0.549469964664311,0.450530035335689
2021/11/10,269.0,263.0,-0.0112781954887218,120.883,0.5056390977443609,0.4943609022556391
2021/11/11,247.0,251.0,0.0080321285140562,122.336,0.4959839357429719,0.5040160642570282
2021/11/12,213.0,178.0,-0.0895140664961636,114.288,0.5447570332480819,0.45524296675191817
2021/11/13,200.0,156.0,-0.1235955056179775,111.468,0.5617977528089888,0.43820224719101125
2021/11/14,191.0,154.0,-0.1072463768115942,112.773,0.553623188405797,0.4463768115942029
2021/11/15,249.0,187.0,-0.1422018348623853,109.891,0.5711009174311926,0.4288990825688073
2021/11/16,312.0,174.0,-0.2839506172839506,98.286,0.6419753086419753,0.35802469135802467
2021/11/17,354.0,179.0,-0.3283302063789868,94.656,0.6641651031894934,0.33583489681050654
2021/11/18,363.0,181.0,-0.3345588235294117,94.153,0.6672794117647058,0.3327205882352941
2021/11/19,381.0,214.0,-0.280672268907563,98.577,0.6403361344537815,0.3596638655462185
2021/11/20,627.0,259.0,-0.4153498871331828,87.544,0.7076749435665914,0.29232505643340856
2021/11/21,635.0,304.0,-0.3525026624068157,92.716,0.6762513312034079,0.32374866879659214
2021/11/22,629.0,282.0,-0.3809001097694841,90.401,0.6904500548847421,0.30954994511525796
2021/11/23,563.0,285.0,-0.3278301886792453,94.768,0.6639150943396226,0.33608490566037735
2021/11/24,524.0,271.0,-0.3182389937106918,95.562,0.6591194968553459,0.34088050314465407
2021/11/25,574.0,287.0,-0.3333333333333333,94.327,0.6666666666666666,0.3333333333333333
2021/11/26,580.0,273.0,-0.3599062133645955,92.152,0.6799531066822978,0.32004689331770225
2021/11/27,365.0,233.0,-0.2207357859531772,103.611,0.6103678929765887,0.3896321070234114
2021/11/28,331.0,183.0,-0.2879377431906614,98.073,0.6439688715953308,0.3560311284046693
2021/11/29,302.0,162.0,-0.3017241379310345,96.939,0.6508620689655172,0.34913793103448276
2021/11/30,296.0,161.0,-0.2954048140043763,97.463,0.6477024070021882,0.3522975929978118
